code,asof_date
1001,2025-11-28
1306,2025-11-28
1308,2025-11-28
1332,2025-11-28
1357,2025-11-28
1375,2025-11-28
1414,2025-11-28
1417,2025-11-28
1419,2025-11-28
1478,2025-11-28
1489,2025-11-28
1514,2025-11-28
1518,2025-11-28
1540,2025-11-28
1545,2025-11-28
1605,2025-11-28
1655,2025-11-28
1662,2025-11-28
1671,2025-11-28
1711,2025-11-28
1717,2025-11-28
1719,2025-11-28
1720,2025-11-28
1721,2025-11-28
1801,2025-11-28
1802,2025-11-28
1803,2025-11-28
1808,2025-11-28
1812,2025-11-28
1833,2025-11-28
1860,2025-11-28
1861,2025-11-28
1878,2025-11-28
1885,2025-11-28
1893,2025-11-28
1898,2025-11-28
1911,2025-11-28
1925,2025-11-28
1928,2025-11-28
1929,2025-11-28
1942,2025-11-28
1951,2025-11-28
1963,2025-11-28
2002,2025-11-28
2120,2025-11-28
2127,2025-11-28
2157,2025-11-28
2160,2025-11-28
2168,2025-11-28
2170,2025-11-28
2201,2025-11-28
2212,2025-11-28
2222,2025-11-28
2264,2025-11-28
2267,2025-11-28
2269,2025-11-28
2281,2025-11-28
2282,2025-11-28
2296,2025-11-28
2317,2025-11-28
2327,2025-11-28
2331,2025-11-28
2371,2025-11-28
2389,2025-11-28
2411,2025-11-28
2413,2025-11-28
2432,2025-11-28
2433,2025-11-28
2471,2025-11-28
2492,2025-11-28
2501,2025-11-28
2502,2025-11-28
2503,2025-11-28
2510,2025-11-28
2531,2025-11-28
2579,2025-11-28
2585,2025-11-28
2587,2025-11-28
2670,2025-11-28
2678,2025-11-28
2695,2025-11-28
2700,2025-11-28
2726,2025-11-28
2730,2025-11-28
2768,2025-11-28
2782,2025-11-28
2784,2025-11-28
2801,2025-11-28
2802,2025-11-28
2806,2025-11-28
2809,2025-11-28
2811,2025-11-28
2871,2025-11-28
2897,2025-11-28
2914,2025-11-28
2931,2025-11-28
2980,2025-11-28
3003,2025-11-28
3036,2025-11-28
3038,2025-11-28
3048,2025-11-28
3063,2025-11-28
3064,2025-11-28
3086,2025-11-28
3088,2025-11-28
3092,2025-11-28
3097,2025-11-28
3099,2025-11-28
3105,2025-11-28
3110,2025-11-28
3116,2025-11-28
3132,2025-11-28
3133,2025-11-28
3167,2025-11-28
3173,2025-11-28
3182,2025-11-28
3186,2025-11-28
3197,2025-11-28
3234,2025-11-28
3242,2025-11-28
3252,2025-11-28
3288,2025-11-28
3289,2025-11-28
3292,2025-11-28
3293,2025-11-28
3295,2025-11-28
3296,2025-11-28
3309,2025-11-28
3382,2025-11-28
3387,2025-11-28
3391,2025-11-28
3397,2025-11-28
3401,2025-11-28
3402,2025-11-28
3405,2025-11-28
3407,2025-11-28
3431,2025-11-28
3436,2025-11-28
3452,2025-11-28
3474,2025-11-28
3479,2025-11-28
3481,2025-11-28
3482,2025-11-28
3548,2025-11-28
3563,2025-11-28
3565,2025-11-28
3623,2025-11-28
3626,2025-11-28
3635,2025-11-28
3655,2025-11-28
3659,2025-11-28
3660,2025-11-28
3661,2025-11-28
3687,2025-11-28
3692,2025-11-28
3696,2025-11-28
3697,2025-11-28
3765,2025-11-28
3778,2025-11-28
3834,2025-11-28
3861,2025-11-28
3864,2025-11-28
3903,2025-11-28
3905,2025-11-28
3923,2025-11-28
3941,2025-11-28
3962,2025-11-28
3989,2025-11-28
3993,2025-11-28
3994,2025-11-28
4004,2025-11-28
4005,2025-11-28
4021,2025-11-28
4023,2025-11-28
4028,2025-11-28
4042,2025-11-28
4043,2025-11-28
4046,2025-11-28
4061,2025-11-28
4062,2025-11-28
4063,2025-11-28
4072,2025-11-28
4088,2025-11-28
4091,2025-11-28
4114,2025-11-28
4151,2025-11-28
4165,2025-11-28
4168,2025-11-28
4180,2025-11-28
4182,2025-11-28
4183,2025-11-28
4186,2025-11-28
4188,2025-11-28
4202,2025-11-28
4204,2025-11-28
4205,2025-11-28
4206,2025-11-28
4208,2025-11-28
4246,2025-11-28
4251,2025-11-28
4259,2025-11-28
4272,2025-11-28
4293,2025-11-28
4301,2025-11-28
4307,2025-11-28
4316,2025-11-28
4324,2025-11-28
4326,2025-11-28
4366,2025-11-28
4369,2025-11-28
4373,2025-11-28
4375,2025-11-28
4384,2025-11-28
4385,2025-11-28
4403,2025-11-28
4404,2025-11-28
4431,2025-11-28
4443,2025-11-28
4449,2025-11-28
4452,2025-11-28
4475,2025-11-28
4478,2025-11-28
4480,2025-11-28
4483,2025-11-28
4493,2025-11-28
4499,2025-11-28
4502,2025-11-28
4503,2025-11-28
4506,2025-11-28
4507,2025-11-28
4519,2025-11-28
4523,2025-11-28
4527,2025-11-28
4528,2025-11-28
4530,2025-11-28
4536,2025-11-28
4543,2025-11-28
4544,2025-11-28
4565,2025-11-28
4568,2025-11-28
4578,2025-11-28
4587,2025-11-28
4592,2025-11-28
4612,2025-11-28
4613,2025-11-28
4631,2025-11-28
4661,2025-11-28
4665,2025-11-28
4666,2025-11-28
4676,2025-11-28
4680,2025-11-28
4681,2025-11-28
4684,2025-11-28
4689,2025-11-28
4691,2025-11-28
4704,2025-11-28
4732,2025-11-28
4751,2025-11-28
4755,2025-11-28
4768,2025-11-28
4776,2025-11-28
4784,2025-11-28
4800,2025-11-28
4814,2025-11-28
4825,2025-11-28
4839,2025-11-28
4887,2025-11-28
4889,2025-11-28
4901,2025-11-28
4902,2025-11-28
4911,2025-11-28
4912,2025-11-28
4927,2025-11-28
4928,2025-11-28
4967,2025-11-28
4974,2025-11-28
4980,2025-11-28
4996,2025-11-28
5016,2025-11-28
5017,2025-11-28
5019,2025-11-28
5020,2025-11-28
5021,2025-11-28
5032,2025-11-28
5076,2025-11-28
5101,2025-11-28
5105,2025-11-28
5108,2025-11-28
5110,2025-11-28
