ticker,side,units,open_reason,close_reason,open_asof,close_asof,entry_price,exit_price,pnl
4366,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-01,2026-01-06,300.0,300.0,0.0
4366,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-02,2026-01-06,300.0,300.0,0.0
4366,LONG,5,A_ADD_ADD_TO_MAIN_OK,X_EXIT_GATE_NG,2026-01-03,2026-01-06,300.0,300.0,0.0
8267,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-08,2026-01-09,2363.5,2363.5,0.0
3436,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-09,2026-01-13,1489.0,1489.0,0.0
4293,LONG,2,E_NEW_TOP1_GATE_OK,R_CUT_LOSS_WARN,2026-01-13,2026-01-14,506.0,459.0,-185770.750988
1655,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-20,2026-01-22,785.0,785.0,0.0
6958,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-23,2026-01-26,542.0,520.0,-81180.811808
6958,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-24,2026-01-26,542.0,520.0,-121771.217712
2492,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-27,2026-01-28,456.0,456.0,0.0
